Protein;3.8;4.0;4.2;4.4;4.6000000000000005;4.800000000000001;5.000000000000001;5.200000000000001;5.400000000000001;5.600000000000001;5.800000000000002;6.000000000000002;6.200000000000002;6.400000000000002;6.600000000000002;6.8000000000000025;7.000000000000003;7.200000000000003;7.400000000000003;7.600000000000003;7.800000000000003;8.000000000000004;8.200000000000003;8.400000000000002;8.600000000000001;8.8;9.0;9.2;9.399999999999999
1dpq;0;5;5;5;5;5;5;5;5;5;5;5;5;6;6;6;6;6;6;6;6;6;6;6;6;7;7;7;7
1fsd;0;1;1;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;4;4;4;6;6
1hz3;0;11;11;11;11;11;11;12;12;12;12;12;13;13;13;13;14;14;15;16;16;16;17;18;18;18;19;19;19
1jbl;3;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6
1y32;2;7;7;7;7;7;8;8;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;11;11;12;12;12;12
1z2t;4;4;4;4;4;5;6;6;6;6;6;7;7;7;7;7;7;7;7;7;7;7;7;8;8;8;8;8;8
2b0y;2;3;3;3;3;3;3;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2gd3;2;7;7;7;7;7;7;7;9;9;9;10;10;10;10;10;10;10;10;10;10;11;12;13;13;13;13;13;13
2iwj;0;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;8;8;8;9;9;10;10;11;11;12
2lke;5;9;9;9;9;9;9;9;10;10;10;10;10;10;10;10;10;11;11;12;12;12;12;12;13;13;13;13;15
2nvj;5;7;7;7;7;7;8;8;9;9;9;9;9;9;9;10;10;11;12;12;12;13;13;13;13;13;13;13;13
